source,target,value,index
0,1,14.986587591171265,0
1,2,14.838178719452449,1
2,3,14.450852227210998,2
3,4,14.954039794036321,3
4,5,15.042924863951546,4
5,6,14.827118116787501,5
6,7,14.707609210014343,6
7,8,14.70585355928966,7
8,9,15.222268083436148,8
9,10,15.064602599825179,9
10,11,14.786216099943433,10
11,12,14.11629685810634,11
12,13,13.939277523926327,12
13,14,14.16116285630635,13
14,15,13.93889677626746,14
15,16,14.031300648961748,15
16,17,13.892818956034525,16
17,18,13.556944367204393,17
18,19,13.441890204293387,18
19,20,13.78138397523335,19
20,21,13.944576043401446,20
21,22,14.400073187691826,21
22,23,14.09849670478276,22
