source,target,value,index
0,1,0.5164043159357139,0
1,2,0.48310733438602516,1
2,3,0.44562723463135107,2
3,4,0.4114210657243218,3
4,5,0.3663651385584048,4
5,6,0.42282094843685625,5
6,7,0.3455991984371628,6
7,8,0.2938350154778787,7
8,9,0.2640498889024769,8
9,10,0.1912063824066094,9
10,11,0.19590318155075823,10
11,12,0.14644681278084007,11
12,13,0.0937634271809033,12
13,14,0.01055326229759625,13
14,15,-0.12011827737092971,14
15,16,-0.21764349651123796,15
16,17,-0.2843964604181903,16
17,18,-0.34924724632075854,17
18,19,-0.45585367440113,18
19,20,-0.40073822550475596,19
20,21,-0.46021599951599323,20
21,22,-0.48418491880808556,21
22,23,-0.5021595151615994,22
