source,target,value,index
0,1,15.535567249570574,0
1,2,15.213311034611293,1
2,3,15.160096197128295,2
3,4,14.91297449520656,3
4,5,14.759471059526716,4
5,6,14.336614648274013,5
6,7,14.179370301110405,6
7,8,13.921368869032179,7
8,9,13.791630108356475,8
9,10,13.728150830950057,9
10,11,13.55065400498254,10
11,12,13.301522205557141,11
12,13,13.142262131146023,12
13,14,12.78824335030147,13
14,15,12.473090002536773,14
15,16,12.046635878426688,15
16,17,11.884479594911848,16
17,18,11.945499415397643,17
18,19,11.874183919770378,18
19,20,11.685821916716439,19
20,21,11.698261655058179,20
21,22,11.679658876827785,21
22,23,11.633542875902993,22
